store_id,beautician_id,service_date,gross_revenue,payment_method
store-001,beautician-001,2024-01-01,150.00,cash
store-001,beautician-002,2024-01-01,280.50,transfer
store-001,beautician-003,2024-01-01,320.00,wechat
store-001,beautician-001,2024-01-02,450.00,cash
store-001,beautician-002,2024-01-02,180.00,alipay
store-001,beautician-003,2024-01-02,220.00,cash
store-001,beautician-001,2024-01-03,350.00,transfer
store-001,beautician-002,2024-01-03,480.50,wechat
store-001,beautician-003,2024-01-03,290.00,cash
store-001,beautician-001,2024-01-04,420.00,alipay
store-001,beautician-002,2024-01-04,310.00,cash
store-001,beautician-003,2024-01-04,550.00,transfer
store-001,beautician-001,2024-01-05,260.00,wechat
store-001,beautician-002,2024-01-05,390.50,cash
store-001,beautician-003,2024-01-05,470.00,alipay
store-001,beautician-001,2024-01-06,330.00,cash
store-001,beautician-002,2024-01-06,510.00,transfer
store-001,beautician-003,2024-01-06,240.00,wechat
store-001,beautician-001,2024-01-07,380.00,cash
store-001,beautician-002,2024-01-07,440.50,alipay
